DDT,M,S,variant,mean,std,n_runs
0.5,10,1,full,5296.47,241.19,30
0.5,10,3,full,50973.93,2603.56,30
0.5,10,5,full,215348.77,5498.8,30
0.5,15,1,full,5651.4,321.56,30
0.5,15,3,full,21419.07,1592.73,30
0.5,15,5,full,39994.97,2188.43,30
0.5,20,1,full,7557.47,269.68,30
0.5,20,3,full,24043.07,2435.61,30
0.5,20,5,full,22569.57,316.99,30
1.0,10,1,full,1579.17,299.63,30
1.0,10,3,full,29852.43,1928.82,30
1.0,10,5,full,21368.0,1277.75,30
1.0,15,1,full,652.8,100.21,30
1.0,15,3,full,10565.87,981.12,30
1.0,15,5,full,26949.0,3173.59,30
1.0,20,1,full,2556.87,102.09,30
1.0,20,3,full,1019.03,128.17,30
1.0,20,5,full,11042.47,1269.65,30
1.5,10,1,full,0.0,0.0,30
1.5,10,3,full,13772.87,1360.59,30
1.5,10,5,full,4032.93,758.57,30
1.5,15,1,full,0.0,0.0,30
1.5,15,3,full,262.4,179.63,30
1.5,15,5,full,17188.77,2846.37,30
1.5,20,1,full,285.63,164.68,30
1.5,20,3,full,1478.3,163.5,30
1.5,20,5,full,4075.53,86.8,30
